OBJECTID_1,FID_Metrorail_Stations_Buffer,OBJECTID,NAME,STATION,NODE,YEAR_,GlobalID,CreationDa,Creator,EditDate,Editor,BUFF_DIST,ORIG_FID,FID_Current_Housing_Units,OBJECTID,PIN,PARCE_ID,VALID_FROM,VALID_TO,CURRE_UNIT,HOUSI_UNIT,LUC,YEAR_BUILT,STRUC_DESC
37,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,138355,138356,0391 35 0014,557175,,1/1/2023,1,TH,31,1993,
38,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,108984,108985,0391 35 0017,557165,,1/1/2023,1,TH,31,1994,
39,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,70889,70890,0391 35 0023A,297493,,1/1/2023,1,TH,31,1994,
40,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,71373,71374,0391 35 0013,557171,,1/1/2023,1,TH,31,1993,
41,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,65434,65435,0391 35 0018,557166,,1/1/2023,1,TH,31,1994,
42,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,138354,138355,0391 35 0012,557156,,1/1/2023,1,TH,31,1993,
43,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,108653,108654,0391 35 0019,144991,,1/1/2023,1,TH,31,1994,
44,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,70190,70191,0391 35 0011,336523,,1/1/2023,1,TH,31,1993,
45,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,70191,70192,0391 35 0020,188008,,1/1/2023,1,TH,31,1994,
46,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,70194,70195,0391 35 0048A,293571,,1/1/2023,1,TH,31,1994,
47,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,70189,70190,0391 35 0010,219338,,1/1/2023,1,TH,31,1993,
48,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,73218,73219,0391 35 0049A,241774,,1/1/2023,1,TH,31,1994,
49,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,70192,70193,0391 35 0021,258754,,1/1/2023,1,TH,31,1994,
50,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,138353,138354,0391 35 0004,229497,,1/1/2023,1,TH,31,1993,
51,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,102447,102448,0391 35 0050A,398653,,1/1/2023,1,TH,31,1994,
52,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,72435,72436,0391 35 0009,416715,,1/1/2023,1,TH,31,1993,
53,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,72071,72072,0391 35 0051A,291090,,1/1/2023,1,TH,31,1994,
54,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,63828,63829,0391 35 0003,187043,,1/1/2023,1,TH,31,1993,
55,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,71633,71634,0391 35 0002,429195,,1/1/2023,1,TH,31,1993,
56,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,65793,65794,0391 35 0052,251136,,1/1/2023,1,TH,31,1993,
57,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,70887,70888,0391 35 0008,402153,,1/1/2023,1,TH,31,1993,
58,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,73215,73216,0391 35 0001,317742,,1/1/2023,1,TH,31,1993,
59,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,64374,64375,0391 35 0053,202283,,1/1/2023,1,TH,31,1993,
60,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,71376,71377,0391 35 0054,326929,,1/1/2023,1,TH,31,1993,
61,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,102448,102449,0391 35 0055,180338,,1/1/2023,1,TH,31,1993,
62,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,63829,63830,0391 35 0005,354637,,1/1/2023,1,TH,31,1993,
63,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,73216,73217,0391 35 0006,529747,,1/1/2023,1,TH,31,1993,
64,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,71047,71048,0391 35 0007,529726,,1/1/2023,1,TH,31,1993,
65,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,99024,99025,0293 25 0011,529716,,1/1/2023,1,TH,31,1996,
