ACCT,Steet Name,City,ZIP,Licence Type,Lic Status,Point X,Point Y
728997,John Carroll,OLNE,20832,RLU,AP,"1,292,023.00","538,509.00"
763023,Treadway,BRKV,20833,RLU,AP,"1,292,973.00","547,882.00"
1136906,Plyers Mill,SILV,20902,ACC,LI,"1,295,254.00","496,497.00"
426222,Western,CHEV,20815,RLU,AP,"1,294,301.00","477,872.00"
531330,Rollingwood,CHEV,20815,ACC,LI,"1,293,874.00","478,969.00"
1246721,Feldon,SILV,20906,ACC,LI,"1,290,957.00","509,408.00"
506483,Massachusetts,BETH,20816,ACC,LI,"1,277,778.00","472,305.00"
641848,Rockhurst,BETH,20817,RLU,AP,"1,274,586.00","490,796.00"
640057,Crathie,BETH,20816,ACC,PE,"1,272,863.00","475,770.00"
2883838,Fernwood,BETH,20817,ACC,LI,"1,273,981.00","487,410.00"
2096496,Founders Mill,ROCK,20855,RLU,AP,"1,269,845.00","536,237.00"
1785071,Hollingsworth,DERW,20855,RLU,AP,"1,275,923.00","539,552.00"
561848,Nahant,BETH,20816,ACC,LI,"1,278,902.00","470,480.00"
580328,Hempstead,BETH,20817,RLU,AP,"1,279,461.00","487,277.00"
619448,Lenox,BETH,20817,ACC3,LI,"1,279,030.00","478,663.00"
507580,Massachusetts,BETH,20816,RLU,AP,"1,276,804.00","473,130.00"
659477,Fernwood,BETH,20817,ACC,LI,"1,274,554.00","487,567.00"
619698,Whittier,BETH,20817,RLU,AP,"1,277,051.00","477,928.00"
638236,Earlham,BETH,20817,ACC,LI,"1,275,281.00","490,301.00"
84863,Huntover,ROCK,20852,RLU,AP,"1,275,304.00","499,845.00"
696812,St Albans,BETH,20814,ACC,LI,"1,279,569.00","495,654.00"
585718,Bradmoor,BETH,20817,ACC,LI,"1,278,332.00","483,778.00"
518548,Shadow,CHEV,20815,RLU,AP,"1,281,774.00","475,782.00"
634661,Belhaven,BETH,20817,ACC,EX,"1,277,232.00","491,350.00"
508287,Wyoming,BETH,20816,ACC3,PE,"1,276,227.00","470,375.00"
580990,Bradmoor,BETH,20817,ACC,LI,"1,277,395.00","486,749.00"
631634,Whittier,BETH,20817,RLU,AP,"1,275,513.00","482,452.00"
