GISJOIN,YEAR,TRACTA,AREALAND,AREAWATR,NAME,INTPTLAT,INTPTLON,Total_Not_Hispanic,White,Black,NA,Asian,PI,Other,Two_Plus,Total_Hispanic,Hispanic_White,Hispanic_Black,Hispanic_NA,Hispanic_Asian,Hispanic_PI,Hispanic_Other,Hispanic_Two_Plus,Total
G2400330803607,2020,803607,2734612,3624,Census Tract 8036.07,38.9655063,-76.8352854,2457,257,1981,0,114,0,7,98,1215,119,18,30,0,0,801,247,3672
G2400330803608,2020,803608,5186094,45636,Census Tract 8036.08,38.9550751,-76.8506247,3881,279,3276,17,173,0,38,98,2700,108,47,64,4,9,2036,432,6581
G2400330803610,2020,803610,1280274,0,Census Tract 8036.10,38.9630071,-76.880049,2091,225,1618,6,124,4,22,92,1436,73,27,42,0,0,1074,220,3527
G2400330803612,2020,803612,1529766,1897,Census Tract 8036.12,38.9506525,-76.8756757,2930,252,2402,12,124,0,26,114,904,55,30,12,1,0,652,154,3834
G2400330803613,2020,803613,1608019,0,Census Tract 8036.13,38.9583217,-76.8855778,5096,195,4617,18,79,1,52,134,1847,97,58,32,12,0,1397,251,6943
G2400330803700,2020,803700,927911,0,Census Tract 8037,38.9433616,-76.8881511,1223,245,835,0,40,0,23,80,1727,125,17,80,0,4,1241,260,2950
G2400330803801,2020,803801,1249305,0,Census Tract 8038.01,38.945753,-76.9052779,1133,147,864,1,41,0,29,51,1739,145,14,55,0,1,1286,238,2872
G2400330803803,2020,803803,2096194,6299,Census Tract 8038.03,38.9548118,-76.8973349,2631,223,2074,12,152,0,22,148,3431,298,36,100,10,2,2319,666,6062
G2400330803900,2020,803900,827525,0,Census Tract 8039,38.9492635,-76.921979,1087,165,795,5,37,0,9,76,3567,233,13,206,4,4,2671,436,4654
G2400330804001,2020,804001,836640,0,Census Tract 8040.01,38.9465843,-76.9137092,3917,98,3631,15,57,6,9,101,1422,86,54,88,3,3,1037,151,5339
G2400330804002,2020,804002,2069360,97802,Census Tract 8040.02,38.9413687,-76.9328205,1699,218,1271,11,72,0,23,104,2833,206,27,98,5,5,2092,400,4532
G2400330804101,2020,804101,1394977,0,Census Tract 8041.01,38.9268545,-76.9061209,2683,548,1909,9,80,0,12,125,599,26,16,20,0,0,400,137,3282
G2400330804102,2020,804102,2148580,0,Census Tract 8041.02,38.9375103,-76.9009524,4227,248,3555,8,189,8,54,165,2661,175,65,97,4,0,1805,515,6888
G2400330804200,2020,804200,2453083,0,Census Tract 8042,38.925195,-76.918844,2622,1430,902,1,67,4,16,202,358,44,20,3,0,0,160,131,2980
G2400330804300,2020,804300,3479786,66179,Census Tract 8043,38.9256205,-76.9304323,2396,112,2116,4,67,0,14,83,1281,117,45,48,1,0,909,161,3677
G2400330804400,2020,804400,2613012,82296,Census Tract 8044,38.9268332,-76.9438421,1410,257,847,10,210,5,22,59,1512,127,29,37,6,0,1069,244,2922
G2400330804600,2020,804600,1197174,0,Census Tract 8046,38.943613,-76.9552428,1953,566,1130,10,95,2,28,122,1623,135,25,51,1,1,1142,268,3576
G2400330804700,2020,804700,1063718,0,Census Tract 8047,38.9398245,-76.9626213,2457,1089,1048,3,110,3,20,184,1080,76,12,47,0,3,722,220,3537
G2400330804801,2020,804801,323158,0,Census Tract 8048.01,38.9445014,-76.9695724,1724,96,1478,2,42,1,14,91,924,80,34,13,0,1,639,157,2648
G2400330804802,2020,804802,316765,218,Census Tract 8048.02,38.9497841,-76.963964,1222,105,1012,3,34,5,21,42,1748,127,41,77,4,0,1181,318,2970
G2400330804900,2020,804900,1277688,0,Census Tract 8049,38.9508937,-76.9774185,2819,229,2393,3,50,2,29,113,1164,62,53,75,1,0,717,256,3983
G2400330805000,2020,805000,1857193,11378,Census Tract 8050,38.9614009,-76.9828138,3357,162,2924,7,78,1,34,151,2549,250,76,59,4,14,1707,439,5906
G2400330805101,2020,805101,1138990,63793,Census Tract 8051.01,38.9626634,-76.9758623,1105,135,837,0,58,0,27,48,2926,159,22,69,0,2,2268,406,4031
G2400330805201,2020,805201,824585,0,Census Tract 8052.01,38.9664183,-76.9954638,1838,78,1616,14,35,0,31,64,2416,245,49,71,4,0,1723,324,4254
G2400330805202,2020,805202,856870,9869,Census Tract 8052.02,38.971338,-76.9858458,2562,92,2322,3,81,1,12,51,1303,124,29,45,2,0,951,152,3865
