GISJOIN,YEAR,TRACTA,AREALAND,AREAWATR,NAME,INTPTLAT,INTPLON,Total_Not_Hispanic,White,Black,NA,Asian,PI,Other,Two_Plus,Total_Hispanic,Hispanic_White,Hispanic_Black,Hispanic_NA,Hispanic_Asian,Hispanic_PI,Hispanic_Other,Hispanic_Two_Plus,Total
G2400330803518,2000,803518,5354563,0,Census Tract 8035.18,38904761,-76872210,7196,582,6400,15,62,5,9,123,184,51,30,1,1,0,68,33,7380
G2400330803519,2000,803519,3133079,0,Census Tract 8035.19,38894177,-76859240,4701,848,3628,17,82,1,11,114,165,39,36,0,3,1,61,25,4866
G2400330803601,2000,803601,2309664,0,Census Tract 8036.01,38937561,-76849329,3446,62,3252,10,46,2,10,64,51,15,16,0,0,0,10,10,3497
G2400330803602,2000,803602,3420667,0,Census Tract 8036.02,38940144,-76865692,1913,12,1856,5,0,1,5,34,25,0,15,0,0,0,6,4,1938
G2400330803605,2000,803605,3045034,0,Census Tract 8036.05,38969660,-76878842,5867,1787,3576,8,351,0,3,142,474,162,41,0,0,0,225,46,6341
G2400330803606,2000,803606,3371475,0,Census Tract 8036.06,38972310,-76856299,4681,1812,2411,7,335,0,17,99,249,121,11,3,0,0,98,16,4930
G2400330803607,2000,803607,2783701,0,Census Tract 8036.07,38968760,-76837313,2879,704,2068,11,54,0,4,38,115,31,16,0,0,0,54,14,2994
G2400330803608,2000,803608,5219612,0,Census Tract 8036.08,38959243,-76850041,5146,805,4070,15,139,0,2,115,329,157,21,4,0,0,116,31,5475
G2400330803610,2000,803610,1269055,0,Census Tract 8036.10,38962560,-76879465,2921,812,1870,7,164,0,6,62,263,94,33,9,0,1,109,17,3184
G2400330803612,2000,803612,1500912,0,Census Tract 8036.12,38948911,-76876391,3149,361,2555,12,157,2,14,48,159,74,22,1,1,0,48,13,3308
G2400330803613,2000,803613,1690576,0,Census Tract 8036.13,38958227,-76882592,4707,565,3803,10,184,1,5,139,430,184,24,3,0,4,195,20,5137
G2400330803700,2000,803700,919844,0,Census Tract 8037,38943111,-76888719,2014,660,1269,3,27,7,4,44,139,37,17,1,0,0,73,11,2153
G2400330803801,2000,803801,1169024,0,Census Tract 8038.01,38946011,-76903332,1957,385,1491,6,40,1,1,33,199,72,14,0,0,0,98,15,2156
G2400330803803,2000,803803,1987970,0,Census Tract 8038.03,38952060,-76898769,4730,754,3747,24,102,1,20,82,512,141,49,3,0,4,239,76,5242
G2400330803900,2000,803900,810873,0,Census Tract 8039,38949311,-76921979,2556,617,1741,6,116,0,11,65,1366,512,24,14,10,0,733,73,3922
G2400330804001,2000,804001,906465,0,Census Tract 8040.01,38949261,-76915393,3589,218,3218,13,54,2,3,81,360,101,42,1,0,0,207,9,3949
G2400330804002,2000,804002,2059703,125417,Census Tract 8040.02,38941311,-76932622,3039,792,2005,14,148,1,9,70,769,322,25,1,0,1,339,81,3808
G2400330804101,2000,804101,1410354,0,Census Tract 8041.01,38927661,-76907238,3179,568,2377,3,102,0,11,118,288,119,10,0,0,0,142,17,3467
G2400330804102,2000,804102,2157001,0,Census Tract 8041.02,38936711,-76898042,4913,474,4296,15,55,0,11,62,347,108,19,0,3,0,181,36,5260
G2400330804200,2000,804200,2401732,0,Census Tract 8042,38923961,-76918229,2936,1568,1242,3,64,2,3,54,157,58,16,5,0,0,59,19,3093
G2400330804300,2000,804300,3500600,96317,Census Tract 8043,38927211,-76929764,3061,227,2703,6,35,0,5,85,414,132,25,4,0,0,221,32,3475
G2400330804400,2000,804400,2564584,79321,Census Tract 8044,38934882,-76947764,2018,558,1203,11,176,0,7,63,375,80,32,0,0,0,235,28,2393
G2400330804600,2000,804600,1170156,0,Census Tract 8046,38942411,-76955095,2300,654,1493,17,61,0,6,69,562,137,24,0,0,0,370,31,2862
G2400330804700,2000,804700,1091185,0,Census Tract 8047,38938861,-76962549,3054,1052,1741,11,130,2,13,105,771,191,38,8,2,0,449,83,3825
G2400330804800,2000,804800,644110,0,Census Tract 8048,38946777,-76966509,4123,279,3630,7,67,0,9,131,908,242,86,3,0,0,507,70,5031
G2400330804900,2000,804900,1328143,11223,Census Tract 8049,38950660,-76977052,3504,260,3034,12,57,0,16,125,344,75,17,10,0,0,213,29,3848
G2400330805000,2000,805000,1921166,0,Census Tract 8050,38960010,-76984086,4690,310,4179,12,64,0,24,101,548,158,44,10,0,2,278,56,5238
G2400330805101,2000,805101,1193404,48351,Census Tract 8051.01,38963760,-76973919,2226,343,1626,6,145,0,11,95,1163,369,61,2,3,14,639,75,3389
G2400330805201,2000,805201,889916,0,Census Tract 8052.01,38966560,-76993796,2678,141,2396,7,35,0,1,98,1212,377,62,7,1,0,703,62,3890
G2400330805202,2000,805202,899695,2212,Census Tract 8052.02,38970110,-76986382,3299,228,2781,19,39,1,24,207,383,72,27,1,0,0,268,15,3682
G2400330805500,2000,805500,1019875,0,Census Tract 8055,38978860,-76981770,2766,477,1922,11,166,0,11,179,1435,416,46,15,4,8,838,108,4201
G2400330805601,2000,805601,545126,0,Census Tract 8056.01,38989960,-76985791,1142,203,678,7,175,2,13,64,4527,2837,59,54,2,7,1278,290,5669
G2400330805602,2000,805602,297139,0,Census Tract 8056.02,38988324,-76977929,1717,164,1311,8,124,0,16,94,3425,2176,70,30,0,3,975,171,5142
G2400330805700,2000,805700,1291705,0,Census Tract 8057,38992610,-76978256,3061,514,2085,16,249,14,11,172,2342,864,87,29,0,5,1181,176,5403
G2400330805801,2000,805801,1411343,0,Census Tract 8058.01,38978460,-76967582,2662,514,1758,2,235,1,22,130,1179,319,37,7,9,1,670,136,3841
G2400330805802,2000,805802,1080206,0,Census Tract 8058.02,38975410,-76973780,2122,316,1504,10,193,0,6,93,1361,444,13,5,3,0,835,61,3483
G2400330805901,2000,805901,2182502,6733,Census Tract 8059.01,38977460,-76956512,4868,907,3184,8,552,2,10,205,1292,316,64,19,0,1,766,126,6160
G2400330805904,2000,805904,2557969,0,Census Tract 8059.04,38996860,-76966755,2352,864,1108,5,274,2,18,81,717,201,30,5,5,0,431,45,3069
G2400330805905,2000,805905,579516,0,Census Tract 8059.05,39007559,-76976821,4270,550,3064,22,321,9,33,271,2242,715,93,6,4,0,1266,158,6512
G2400330806000,2000,806000,1514905,0,Census Tract 8060,38961810,-76960867,3169,926,1932,13,182,0,6,110,929,240,38,2,1,0,556,92,4098
G2400330806100,2000,806100,1310164,35116,Census Tract 8061,38956477,-76954365,3805,2007,1543,15,133,3,17,87,612,158,23,14,8,0,371,38,4417
G2400330806200,2000,806200,1372440,31537,Census Tract 8062,38956210,-76944371,3414,1753,1381,16,151,2,9,102,491,129,26,1,0,0,308,27,3905
G2400330806300,2000,806300,1598738,28143,Census Tract 8063,38949977,-76937883,1524,665,752,11,57,0,1,38,379,117,13,8,1,5,195,40,1903
G2400330806400,2000,806400,2070786,0,Census Tract 8064,38973243,-76944570,2964,2437,209,6,250,0,10,52,167,113,5,0,0,0,23,26,3131
G2400330806501,2000,806501,1582944,66254,Census Tract 8065.01,38959110,-76931580,3092,1077,1739,6,160,1,5,104,1545,703,33,16,23,2,686,82,4637
G2400330806601,2000,806601,1094040,0,Census Tract 8066.01,38956315,-76913615,2726,618,1874,12,100,3,11,108,1568,633,32,13,0,14,822,54,4294
G2400330806602,2000,806602,1702183,0,Census Tract 8066.02,38964160,-76912444,3678,917,2366,14,258,4,13,106,744,319,75,17,8,0,276,49,4422
G2400330806703,2000,806703,2589320,0,Census Tract 8067.03,39003510,-76904263,5693,795,3978,17,645,0,36,222,750,242,66,1,0,6,379,56,6443
G2400330806706,2000,806706,6634695,0,Census Tract 8067.06,38982910,-76886729,3440,1342,1670,15,305,1,15,92,113,43,5,0,0,0,53,12,3553
G2400330806708,2000,806708,2500492,89819,Census Tract 8067.08,38999560,-76879070,3983,2802,689,10,390,0,5,87,143,70,5,1,0,0,54,13,4126
G2400330806710,2000,806710,2294137,0,Census Tract 8067.10,38986329,-76872662,4563,1186,2228,7,995,3,11,133,255,84,44,1,0,0,98,28,4818
G2400330806711,2000,806711,1402836,0,Census Tract 8067.11,38983277,-76857261,4021,1188,2313,11,374,2,6,127,137,37,17,5,0,1,69,8,4158
G2400330806712,2000,806712,4523409,0,Census Tract 8067.12,39003134,-76861483,2703,825,1505,9,259,0,13,92,104,57,9,2,0,0,30,6,2807
G2400330806800,2000,806800,2405879,9526,Census Tract 8068,38991260,-76911914,3422,2556,429,17,318,0,30,72,267,119,15,0,2,0,104,27,3689
