GISJOIN,YEAR,TRACTA,AREALAND,AREAWAT,ANPSADPI,INTPTLAT,INTPTLNG,Total_Not_Hispanic,White,Black,NA,Asian_PI,Other,Total_Hispanic,Hispanic_White,Hispanic_Black,Hispanic_NA,Hispanic_Asian_PI,Hispanic_Other,Total
G2400330800406,1990,800406,48507,477,Tract 8004.06,39024850,-76799483,4704,2856,1553,9,273,13,132,75,21,2,6,28,4836
G2400330800407,1990,800407,3673,0,Tract 8004.07,38985120,-76837560,6462,3865,1964,27,593,13,242,132,40,0,17,53,6704
G2400330800503,1990,800503,13255,16,Tract 8005.03,38955322,-76761498,4454,3981,330,10,133,0,153,133,7,0,0,13,4607
G2400330800504,1990,800504,10012,0,Tract 8005.04,38972100,-76717285,4778,4526,133,8,108,3,117,89,6,0,7,15,4895
G2400330800505,1990,800505,2216,0,Tract 8005.05,38956850,-76730963,3143,2984,93,18,48,0,60,43,3,0,5,9,3203
G2400330800506,1990,800506,13508,37,Tract 8005.06,38929450,-76732065,12989,11323,1238,49,371,8,279,201,11,0,11,56,13268
G2400330800507,1990,800507,40572,132,Tract 8005.07,38895574,-76708647,954,766,180,3,3,2,22,17,4,1,0,0,976
G2400330800508,1990,800508,24222,271,Tract 8005.08,38921633,-76774201,2477,1408,963,8,95,3,49,21,7,0,0,21,2526
G2400330800509,1990,800509,15167,0,Tract 8005.09,38884600,-76772311,3986,778,3111,1,91,5,59,25,9,1,1,23,4045
G2400330800601,1990,800601,44633,258,Tract 8006.01,38847933,-76748426,6553,1944,4466,27,108,8,114,24,55,0,1,34,6667
G2400330800602,1990,800602,26851,378,Tract 8006.02,38804100,-76746187,4078,2621,1396,26,33,2,69,35,14,0,2,18,4147
G2400330800701,1990,800701,28071,0,Tract 8007.01,38829350,-76819358,3254,1639,1549,15,49,2,47,21,11,4,1,10,3301
G2400330800702,1990,800702,27118,7,Tract 8007.02,38795350,-76800802,2947,2007,829,32,76,3,31,22,2,0,0,7,2978
G2400330800703,1990,800703,17779,0,Tract 8007.03,38766599,-76784589,5468,4324,1046,21,77,0,149,92,13,0,6,38,5617
G24003308008,1990,8008,108844,2733,Tract 8008,38709492,-76746461,2954,2145,776,20,12,1,20,15,2,0,0,3,2974
G24003308009,1990,8009,80573,5632,Tract 8009,38609803,-76726037,1586,950,627,8,1,0,20,13,1,0,0,6,1606
G2400330801001,1990,801001,99416,59,Tract 8010.01,38693564,-76855724,5157,3629,1376,85,64,3,90,62,6,1,2,19,5247
G2400330801002,1990,801002,8162,0,Tract 8010.02,38757654,-76829500,4453,3186,1133,9,124,1,97,59,9,0,10,19,4550
G2400330801101,1990,801101,2547,0,Tract 8011.01,38749135,-76854735,220,137,71,1,11,0,14,1,4,0,0,9,234
G2400330801104,1990,801104,17581,0,Tract 8011.04,38803376,-76871814,9680,6795,2475,38,360,12,548,296,41,1,25,185,10228
G2400330801201,1990,801201,16445,38,Tract 8012.01,38746673,-76890580,7702,3854,3615,25,204,4,162,93,29,1,8,31,7864
G2400330801202,1990,801202,9051,0,Tract 8012.02,38758183,-76904812,6065,3158,2728,20,152,7,125,58,18,0,10,39,6190
G2400330801203,1990,801203,8802,0,Tract 8012.03,38770570,-76917041,5751,2480,2984,39,239,9,123,47,29,1,1,45,5874
G2400330801204,1990,801204,7574,0,Tract 8012.04,38780700,-76932580,6846,2853,3766,21,202,4,146,70,32,2,18,24,6992
G2400330801205,1990,801205,12663,0,Tract 8012.05,38780350,-76858070,3820,2727,995,19,78,1,110,80,11,0,1,18,3930
G2400330801301,1990,801301,62727,0,Tract 8013.01,38688611,-76958274,6286,3642,2400,27,214,3,98,46,14,1,17,20,6384
G2400330801302,1990,801302,28467,2613,Tract 8013.02,38678033,-77039653,2109,1842,231,4,31,1,41,25,4,2,4,6,2150
G2400330801304,1990,801304,19495,0,Tract 8013.04,38745204,-76972535,9007,3559,4971,37,430,10,215,66,35,0,14,100,9222
G2400330801398,1990,801398,19118,11195,Tract 8013.98,38722433,-77025499,10417,3875,5578,27,922,15,231,88,45,2,51,45,10648
G2400330801401,1990,801401,10442,0,Tract 8014.01,38785550,-76961166,8188,1833,6080,40,224,11,153,45,30,4,8,66,8341
G2400330801402,1990,801402,6951,0,Tract 8014.02,38792350,-76980308,7089,2267,4516,27,275,4,138,36,31,0,17,54,7227
G2400330801403,1990,801403,8703,7825,Tract 8014.03,38772909,-77024081,6372,1876,3386,15,1088,7,173,57,14,0,83,19,6545
G2400330801404,1990,801404,1942,0,Tract 8014.04,38788353,-76999602,3546,1213,2012,30,283,8,63,24,3,0,0,36,3609
G2400330801405,1990,801405,2659,0,Tract 8014.05,38798274,-76988049,3406,1605,1442,4,353,2,139,47,8,2,28,54,3545
G24003308015,1990,8015,4116,763,Tract 8015,38803400,-77012613,2809,754,1947,3,97,8,81,34,29,1,2,15,2890
G24003308016,1990,8016,512,0,Tract 8016,38819600,-76996489,3561,91,3440,15,13,2,42,5,22,0,2,13,3603
G2400330801701,1990,801701,2142,0,Tract 8017.01,38804800,-76944787,4344,1533,2672,13,124,2,127,34,31,3,4,55,4471
G2400330801702,1990,801702,1280,0,Tract 8017.02,38809439,-76959008,2528,1014,1437,15,55,7,63,18,18,0,0,27,2591
G2400330801703,1990,801703,3976,0,Tract 8017.03,38815394,-76974556,10059,1000,8839,20,198,2,199,19,83,2,8,87,10258
G2400330801704,1990,801704,2323,0,Tract 8017.04,38821200,-76980781,5377,279,5060,11,24,3,59,5,29,0,1,24,5436
G2400330801706,1990,801706,1291,0,Tract 8017.06,38824750,-76960698,2050,347,1676,1,24,2,35,2,13,0,0,20,2085
G2400330801801,1990,801801,666,0,Tract 8018.01,38828250,-76949185,2138,253,1828,4,51,2,33,9,10,0,2,12,2171
G2400330801802,1990,801802,1065,0,Tract 8018.02,38835750,-76950233,4267,655,3570,11,31,0,49,7,18,0,0,24,4316
G2400330801804,1990,801804,796,0,Tract 8018.04,38840900,-76958411,2216,358,1846,4,5,3,11,8,3,0,0,0,2227
G2400330801805,1990,801805,691,0,Tract 8018.05,38845967,-76957676,2427,179,2231,1,14,2,18,5,8,0,0,5,2445
G2400330801806,1990,801806,3985,0,Tract 8018.06,38832467,-76970970,8596,742,7795,11,43,5,80,14,48,2,0,16,8676
