FID,OBJECTID,PIN,PARCE_ID,VALID_FROM,VALID_TO,CURRE_UNIT,HOUSI_UNIT,LUC,YEAR_BUILT,STRUC_DESC,NEAR_FID,NEAR_DIST,Type
38379,38380,0294 12040201,450609, ,2023-01-01,1,LR,041,1997, ,658,0.003972552,
22708,22709,0174 17020009,547931, ,2023-01-01,1,TH,031,1976, ,676,0.00397385,
37739,37740,0262 09050002,556712, ,2023-01-01,1,SF,011,1977, ,676,0.004002601,
50899,50900,0262 09020021,547935, ,2023-01-01,1,TH,031,1977, ,676,0.004032364,
33636,33637,0174 17020010,546668, ,2023-01-01,1,TH,031,1976, ,676,0.00404108,
53075,53076,0262 09020020,547956, ,2023-01-01,1,TH,031,1977, ,676,0.004052057,
37379,37380,0294 12050107,446356, ,2023-01-01,1,LR,041,1997, ,658,0.004055012,
27488,27489,0174 12  0011B1,553073, ,2023-01-01,260,MR,042,2020,ELEVATOR APARTMENT,676,0.004065163,
48317,48318,0262 098A0004,545946, ,2023-01-01,1,SF,011,1977, ,676,0.004065638,
59144,59145,0262 09050003,556746, ,2023-01-01,1,SF,011,1977, ,676,0.004070918,
73519,73520,0262 09050001,556745, ,2023-01-01,1,SF,011,1977, ,676,0.004081223,
31938,31939,0262 09020019,546654, ,2023-01-01,1,TH,031,1977, ,676,0.004087986,
33637,33638,0174 17020011,547940, ,2023-01-01,1,TH,031,1976, ,676,0.004107363,
94881,94882,0293 01  0035,555936, ,2023-01-01,217,LR,040,1980,GARDEN APARTMENT,656,0.004109553,
40645,40646,0262 09140005,546670, ,2023-01-01,1,SF,011,1979, ,676,0.004122369,
50898,50899,0262 09020018,546661, ,2023-01-01,1,TH,031,1977, ,676,0.004129278,
57394,57395,0262 098A0009,556726, ,2023-01-01,1,SF,011,1977, ,676,0.004145203,
46629,46630,0262 09020017,547963, ,2023-01-01,1,TH,031,1977, ,676,0.004156209,
38127,38128,0262 09020015,547929, ,2023-01-01,1,TH,031,1977, ,676,0.004156806,
38128,38129,0262 09020016,547950, ,2023-01-01,1,TH,031,1977, ,676,0.004156846,
19685,19686,0174 17020012,547948, ,2023-01-01,1,TH,031,1976, ,676,0.004168429,
19686,19687,0174 17020013,546656, ,2023-01-01,1,TH,031,1976, ,676,0.004216633,
50993,50994,0262 098A0003,556706, ,2023-01-01,1,SF,011,1977, ,676,0.004222054,
45557,45558,0262 097A0008,556722, ,2023-01-01,1,SF,011,1977, ,676,0.004243313,
73520,73521,0262 09050004,556711, ,2023-01-01,1,SF,011,1977, ,676,0.004253215,
48309,48310,0262 09020014,547912, ,2023-01-01,1,TH,031,1976, ,676,0.004266606,
50989,50990,0262 09140012,546660, ,2023-01-01,1,SF,011,1979, ,676,0.004274129,
