FID,OBJECTID,PIN,PARCE_ID,VALID_FROM,VALID_TO,CURRE_UNIT,HOUSI_UNIT,LUC,YEAR_BUILT,STRUC_DESC,NEAR_FID,NEAR_DIST,Type
96865,96866,0293 26020008,541714, ,2023-01-01,1,TH,032,1997, ,656,0.006816713,
61190,61191,0293 14  0043,144212, ,2023-01-01,1,SF,011,1978, ,655,0.0068174,
43461,43462,0262 13010012,147042, ,2023-01-01,1,TH,031,1977, ,676,0.006819264,
49108,49109,0293 24  0065,496320, ,2023-01-01,1,TH,031,1996, ,656,0.006819385,
62398,62399,0262 131A0031,542162, ,2023-01-01,1,TH,031,1979, ,676,0.006819458,
47339,47340,0293 14  0036,222379, ,2023-01-01,1,SF,011,1978, ,655,0.006823132,
100220,100221,0293 19  0011,145326, ,2023-01-01,1,TH,031,1982, ,656,0.006825536,
103628,103629,0293 24  0086,156328, ,2023-01-01,1,TH,031,1995, ,656,0.00683474,
59662,59663,0293 11  0094,545309, ,2023-01-01,1,SF,011,1965, ,655,0.006841262,
95825,95826,0293 26020009,541671, ,2023-01-01,1,TH,032,1997, ,656,0.006845195,
44474,44475,0293 21  0017,221796, ,2023-01-01,1,TH,031,1984, ,656,0.006852839,
50379,50380,0291 19050009,547510, ,2023-01-01,1,LR,041,1998, ,655,0.006855749,
49103,49104,0293 24  0028,138439, ,2023-01-01,1,TH,031,1995, ,656,0.006859902,
50612,50613,0293 27  0003A,222185, ,2023-01-01,1,TH,031,1998, ,655,0.006860706,
95325,95326,0293 24  0085,303544, ,2023-01-01,1,TH,031,1995, ,656,0.006863707,
36768,36769,0293 21  0004,162301, ,2023-01-01,1,TH,031,1982, ,656,0.006868891,
111413,111414,0293 24  0029,178984, ,2023-01-01,1,TH,031,1995, ,656,0.006870081,
49743,49744,0262 13010013,190325, ,2023-01-01,1,TH,031,1977, ,676,0.006875853,
71633,71634,0391 35  0002,429195, ,2023-01-01,1,TH,031,1993, ,656,0.006877075,
46056,46057,0293 26010002,496314, ,2023-01-01,1,TH,032,1996, ,656,0.006877655,
50988,50989,0262 09130014,182587, ,2023-01-01,1,SF,011,1978, ,676,0.006882467,
50088,50089,0262 09130007,125795, ,2023-01-01,1,SF,011,1978, ,676,0.006886459,
95322,95323,0293 24  0030,321413, ,2023-01-01,1,TH,031,1995, ,656,0.006887099,
58263,58264,0262 131A0032,542141, ,2023-01-01,1,TH,031,1979, ,676,0.00689046,
59720,59721,0291 17  0004,132029, ,2023-01-01,1,SF,011,1998, ,655,0.006891226,
62689,62690,0293 14  0031,164354, ,2023-01-01,1,SF,011,1978, ,655,0.006893988,
116744,116745,0293 24  0084,334739, ,2023-01-01,1,TH,031,1995, ,656,0.006894,
59097,59098,0293 19  0012,227878, ,2023-01-01,1,TH,031,1982, ,656,0.006895686,
40824,40825,0293 24  0031,430691, ,2023-01-01,1,TH,031,1995, ,656,0.006902116,
99027,99028,0293 27  0004A,218564, ,2023-01-01,1,TH,031,1998, ,655,0.006905793,
103052,103053,0293 24  0066,248634, ,2023-01-01,1,TH,031,1996, ,656,0.006918348,
116892,116893,0293 24  0032,386209, ,2023-01-01,1,TH,031,1995, ,656,0.006922718,
100224,100225,0293 24  0033,130080, ,2023-01-01,1,TH,031,1995, ,656,0.006924631,
103053,103054,0293 24  0083,373543, ,2023-01-01,1,TH,031,1995, ,656,0.006926043,
116741,116742,0293 24  0035,341140, ,2023-01-01,1,TH,031,1995, ,656,0.006933409,
37977,37978,0262 13010014,233657, ,2023-01-01,1,TH,031,1977, ,676,0.006933762,
40825,40826,0293 24  0034,291964, ,2023-01-01,1,TH,031,1995, ,656,0.006936388,
36666,36667,0293 11  0093,545318, ,2023-01-01,1,SF,011,1965, ,655,0.006943889,
18468,18469,0183 10  0006,564471, ,2023-01-01,1,MP,035,2018, ,676,0.006947939,
95315,95316,0293 21  0003,426147, ,2023-01-01,1,TH,031,1982, ,656,0.006948447,
59098,59099,0293 21  0018,223162, ,2023-01-01,1,TH,031,1984, ,656,0.006950858,
38911,38912,0293 26010001,452780, ,2023-01-01,1,TH,032,1996, ,656,0.006951722,
63828,63829,0391 35  0003,187043, ,2023-01-01,1,TH,031,1993, ,656,0.006952348,
48315,48316,0262 09130013,354498, ,2023-01-01,1,SF,011,1978, ,676,0.006954717,
26766,26767,0293 27  0005A,183764, ,2023-01-01,1,TH,031,1998, ,655,0.00695794,
49104,49105,0293 24  0036,361977, ,2023-01-01,1,TH,031,1995, ,656,0.006962793,
106063,106064,0293 24  0082,328553, ,2023-01-01,1,TH,031,1995, ,656,0.006966615,
103622,103623,0293 19  0013,180324, ,2023-01-01,1,TH,031,1982, ,656,0.006967998,
74293,74294,0293 14  0035,368325, ,2023-01-01,1,SF,011,1977, ,655,0.006976274,
