ACCT,Steet Name,City,ZIP,Licence Type,Lic Status,Point X,Point Y,geometry
666826,Sinnott,BETH,20817,ACC3,PE,1276063.0,493564.0,POINT (1276063 493564)
3356400,Primula,LAYT,20882,RLU,AP,1263566.0,577739.0,POINT (1263566 577739)
1734697,River,POTO,20854,ACC,LI,1234361.0,504840.0,POINT (1234361 504840)
1336161,Cory,WHEA,20902,RLU,AP,1297216.0,504879.0,POINT (1297216 504879)
1825565,Royal Dominion,BETH,20817,RLU,AP,1268452.0,480358.0,POINT (1268452 480358)
344074,Eldrid,SILV,20904,ACC3,LI,1309408.0,509443.0,POINT (1309408 509443)
709881,Mt Everest,SILV,20906,ACC,LI,1295816.0,528801.0,POINT (1295816 528801)
594360,Lowell,BETH,20817,ACC,LI,1276727.0,485450.0,POINT (1276727 485450)
1971126,Blue Violet,GAIT,20879,RLU,AP,1262774.0,546280.0,POINT (1262774 546280)
1324607,Hyde,SILV,20902,ACC3,PE,1306682.0,502109.0,POINT (1306682 502109)
2651371,Kaul,GERM,20876,RLU,AP,1252251.0,559879.0,POINT (1252251 559879)
338665,Broadmore,SILV,20904,RLU,AP,1315707.0,510401.0,POINT (1315707 510401)
356265,Chartwell,SILV,20904,RLU,AP,1307710.0,511468.0,POINT (1307710 511468)
1450728,Queensguard,SILV,20906,ACC3,LI,1300726.0,517399.0,POINT (1300726 517399)
1330621,Charlton,SILV,20902,ACC,LI,1308295.0,501615.0,POINT (1308295 501615)
891735,Toulone,POTO,20854,RLU,AP,1260066.0,503058.0,POINT (1260066 503058)
253732,Schindler,SILV,20903,ACC3,FC,1315135.0,496411.0,POINT (1315135 496411)
2535635,Preakness,DAMA,20872,RLU,AP,1249366.0,578210.0,POINT (1249366 578210)
1080996,Buffalo,TAKO,20912,RLU,AP,1306680.0,478591.0,POINT (1306680 478591)
1148813,Sundale,SILV,20910,ACC3,LI,1299059.0,485622.0,POINT (1299059 485622)
310695,Orchard,SILV,20904,RLU,AP,1315351.0,515684.0,POINT (1315351 515684)
2043272,Showbarn,DAMA,20872,RLU,AP,1253167.0,580915.0,POINT (1253167 580915)
3219650,Iron Gate,ROCK,20854,RLU,PE,1256005.0,493926.0,POINT (1256005 493926)
2265525,Hourglass,GERM,20876,ACC,EX,1243919.0,558046.0,POINT (1243919 558046)
289198,New Hampshire,SILV,20903,ACC,EX,1318023.0,494538.0,POINT (1318023 494538)
336600,Briggs Chaney,SILV,20905,RLU,AP,1325968.0,517532.0,POINT (1325968 517532)
468226,Brookville,CHEV,20815,ACC,LI,1292034.0,479027.0,POINT (1292034 479027)
502304,Wiscasset,BETH,20816,ACC,PE,1275632.0,473496.0,POINT (1275632 473496)
2524665,Holly Leaf,BETH,20817,RLU,AP,1258761.0,480550.0,POINT (1258761 480550)
1019403,Dupont,KENS,20895,ACC,LI,1291732.0,496994.0,POINT (1291732 496994)
448467,Maryland,BETH,20816,ACC,PE,1278061.0,465553.0,POINT (1278061 465553)
271651,Norwood,SILV,20905,ACC,EX,1306531.0,530584.0,POINT (1306531 530584)
1252323,Flack,SILV,20906,RLU,AP,1297564.0,507455.0,POINT (1297564 507455)
1201005,University,KENS,20895,RLU,AP,1293890.0,498492.0,POINT (1293890 498492)
2213954,Wellesley,GLEN,20812,ACC,LI,1271226.0,475260.0,POINT (1271226 475260)
474581,Ridgewood,CHEV,20815,RLU,AP,1288585.0,479582.0,POINT (1288585 479582)
3051791,Conrad Spring,BOYD,20841,RLU,AP,1220808.0,568421.0,POINT (1220808 568421)
2172807,Purcell,POTO,20854,RLU,AP,1262851.0,490768.0,POINT (1262851 490768)
711100,Norbrook,OLNE,20832,ACC3,PE,1294822.0,534056.0,POINT (1294822 534056)
284983,Mantz,SILV,20903,RLU,AP,1318686.0,496153.0,POINT (1318686 496153)
3162861,Central,TAKO,20912,ACC3,PE,1313471.0,479863.0,POINT (1313471 479863)
2279340,Oak Hill,SILV,20905,RLU,AP,1321033.0,534029.0,POINT (1321033 534029)
1838022,Hidden Valley,SILV,20904,RLU,AP,1320649.0,511980.0,POINT (1320649 511980)
265672,Batson,SPEN,20868,RLU,PE,1324483.0,531220.0,POINT (1324483 531220)
337808,Solmar,SILV,20904,ACC3,LI,1321758.0,513937.0,POINT (1321758 513937)
1890144,Dustin,BURT,20866,RLU,AP,1335980.0,529416.0,POINT (1335980 529416)
3004298,Stratford Garden,SILV,20904,ACC,EX,1319936.0,508898.0,POINT (1319936 508898)
338200,Broadmore,SILV,20904,ACC,LI,1315156.0,511287.0,POINT (1315156 511287)
3134885,Mc Knew,BURT,20866,ACC,PE,1334646.0,523579.0,POINT (1334646 523579)
306168,Nolcrest,SILV,20903,RLU,AP,1315341.0,497856.0,POINT (1315341 497856)
2214628,Memory,SILV,20904,RLU,AP,1328159.0,509961.0,POINT (1328159 509961)
257728,Armond,SILV,20905,RLU,AP,1320227.0,530037.0,POINT (1320227 530037)
333685,Eastbourne,SILV,20904,RLU,AP,1315584.0,508116.0,POINT (1315584 508116)
250886,Briggs Chaney,SILV,20905,ACC3,LI,1324536.0,517023.0,POINT (1324536 517023)
348618,Kathryn,SILV,20904,RLU,AP,1314968.0,503536.0,POINT (1314968 503536)
376252,Cabinwood,SILV,20904,ACC3,LI,1316395.0,511548.0,POINT (1316395 511548)
286242,Gatewood,SILV,20903,ACC,LI,1320594.0,494908.0,POINT (1320594 494908)
3393093,Briggs Chaney,SILV,20905,RLU,AP,1325438.0,516693.0,POINT (1325438 516693)
