GISJOIN,YEAR,TRACTA,AREALAND,AREAWATR,NAME,INTPTLAT,INTPTLON,Total_Not_Hispanic,White,Black,NA,Asian,PI,Other,Two_Plus,Total_Hispanic,Hispanic_White,Hispanic_Black,Hispanic_NA,Hispanic_Asian,Hispanic_PI,Hispanic_Other,Hispanic_Two_Plus,Total
G2400330802203,2010,802203,3783675,0,Census Tract 8022.03,38.8520919,-76.8703511,4371,274,3970,5,29,0,9,84,284,73,34,14,1,0,122,40,4655
G2400330802204,2010,802204,8003654,1210,Census Tract 8022.04,38.871171,-76.8613977,6147,173,5820,21,44,5,0,84,229,49,70,0,0,0,97,13,6376
G2400330802301,2010,802301,1620037,0,Census Tract 8023.01,38.8571713,-76.8906646,3466,223,3119,16,28,0,8,72,208,105,17,8,2,0,64,12,3674
G2400330802404,2010,802404,915437,0,Census Tract 8024.04,38.8641337,-76.8909938,4466,53,4327,18,3,1,1,63,74,8,20,4,0,0,37,5,4540
G2400330802405,2010,802405,3976091,2053,Census Tract 8024.05,38.8583934,-76.9353309,4103,66,3944,5,17,0,5,66,137,38,22,5,1,5,52,14,4240
G2400330802406,2010,802406,904111,0,Census Tract 8024.06,38.855363,-76.9210862,2294,61,2182,15,5,2,2,27,146,22,20,0,0,0,76,28,2440
G2400330802407,2010,802407,1403476,929,Census Tract 8024.07,38.8593834,-76.9089053,3585,76,3387,5,43,0,1,73,110,30,22,5,1,0,36,16,3695
G2400330802408,2010,802408,541326,4842,Census Tract 8024.08,38.8648685,-76.9186284,1665,49,1540,5,41,0,5,25,118,19,20,5,1,0,72,1,1783
G2400330802501,2010,802501,874185,0,Census Tract 8025.01,38.8623316,-76.9447971,3044,71,2891,15,4,0,0,63,123,30,28,0,0,0,42,23,3167
G2400330802502,2010,802502,996163,8753,Census Tract 8025.02,38.8680794,-76.9286055,2248,34,2157,4,8,0,2,43,158,42,14,4,0,0,80,18,2406
G2400330802600,2010,802600,916269,0,Census Tract 8026,38.8755529,-76.9241902,3068,93,2883,11,10,1,8,62,212,45,24,1,1,0,103,38,3280
G2400330802700,2010,802700,1112499,0,Census Tract 8027,38.8840134,-76.914355,2555,90,2423,2,5,0,3,32,199,42,23,2,0,1,115,16,2754
G2400330802803,2010,802803,4299356,6681,Census Tract 8028.03,38.8737102,-76.9054246,4902,91,4689,13,9,0,4,96,199,19,47,9,0,0,109,15,5101
G2400330802804,2010,802804,5303032,0,Census Tract 8028.04,38.880729,-76.8789656,5341,51,5191,9,14,0,4,72,125,16,32,3,0,0,64,10,5466
G2400330802805,2010,802805,1941146,0,Census Tract 8028.05,38.8939623,-76.8877306,4638,50,4482,26,13,0,3,64,257,46,32,1,0,0,160,18,4895
G2400330802901,2010,802901,1877740,0,Census Tract 8029.01,38.8937427,-76.9034044,3663,51,3533,7,11,0,0,61,299,55,17,7,1,1,186,32,3962
G2400330803001,2010,803001,1230353,0,Census Tract 8030.01,38.9025825,-76.9111107,2749,27,2628,6,38,0,0,50,196,48,12,0,0,0,120,16,2945
G2400330803002,2010,803002,900195,0,Census Tract 8030.02,38.9032756,-76.8954371,2637,12,2540,10,21,0,12,42,86,2,25,0,0,0,37,22,2723
G2400330803100,2010,803100,2234259,1723,Census Tract 8031,38.9092635,-76.916304,2344,31,2259,6,5,0,11,32,283,80,38,3,0,0,139,23,2627
G2400330803200,2010,803200,1549551,2326,Census Tract 8032,38.9241172,-76.8982653,2839,39,2730,9,6,0,3,52,188,55,19,0,0,0,101,13,3027
G2400330803300,2010,803300,2793093,3564,Census Tract 8033,38.9166861,-76.8909427,3545,57,3350,11,48,0,9,70,792,144,34,12,0,0,531,71,4337
G2400330803401,2010,803401,528360,1539,Census Tract 8034.01,38.9220181,-76.8727276,1134,16,1091,5,4,0,0,18,189,43,2,7,0,0,133,4,1323
G2400330803402,2010,803402,1463435,2820,Census Tract 8034.02,38.9160413,-76.8734415,4419,34,4306,6,15,1,4,53,212,15,60,1,0,2,118,16,4631
G2400330803508,2010,803508,2192376,0,Census Tract 8035.08,38.9258832,-76.8617115,4576,53,4419,7,30,1,2,64,362,73,46,2,0,0,207,34,4938
G2400330803509,2010,803509,2224143,3091,Census Tract 8035.09,38.9318797,-76.8815959,2699,13,2618,10,3,2,8,45,380,103,41,5,0,2,197,32,3079
G2400330803512,2010,803512,5431367,1371,Census Tract 8035.12,38.8768619,-76.8295059,6065,207,5561,19,150,0,13,115,174,50,58,1,1,0,41,23,6239
G2400330803513,2010,803513,2497461,0,Census Tract 8035.13,38.8866379,-76.8264499,4367,102,4130,12,44,0,2,77,103,15,56,1,0,0,21,10,4470
